model,NIP,RMSE,time
lm,0,0.715563933,3.018
pcr,0,0.712504847,7.386
pls,0,0.716015432,10.912
glmnet,0,0.676817628,11.216
lasso,0,0.676817628,11.126
earth,0,0.668893371,71.273
svmLinear,0,0.733401886,97.088
ranger,0,0.652850583,102.064
lm,10,0.721836015,3.364
pcr,10,0.712054612,8.036
pls,10,0.722242944,11.628
glmnet,10,0.682469969,11.7
lasso,10,0.682469969,11.724
earth,10,0.668893371,73.447
svmLinear,10,0.74079559,111.045
ranger,10,0.657867656,106.888
lm,50,0.743936574,3.906
pcr,50,0.735095726,10.566
pls,50,0.744929697,15.681
glmnet,50,0.693606314,14.347
lasso,50,0.693606314,14.431
earth,50,0.668893371,102.54
svmLinear,50,0.759957379,201.191
ranger,50,0.677794021,121.443
lm,100,0.774968069,4.498
pcr,100,0.773516763,13.117
pls,100,0.775963187,20.343
glmnet,100,0.695764219,17.202
lasso,100,0.695764219,18.001
earth,100,0.668893371,137.16
svmLinear,100,0.795367289,311.973
ranger,100,0.686755614,145.424
lm,200,0.83965533,6.142
pcr,200,0.831876637,22.765
pls,200,0.841623086,34.262
glmnet,200,0.710256976,22.829
lasso,200,0.710256976,22.398
earth,200,0.65672768,217.989
svmLinear,200,0.876026362,550.972
ranger,200,0.709126358,190.293
lm,300,0.918353063,7.884
pcr,300,0.911562681,31.498
pls,300,0.921401256,49.589
glmnet,300,0.717803903,58.771
lasso,300,0.717803903,59.396
earth,300,0.65672768,335.366
svmLinear,300,0.96659501,656.907
ranger,300,0.726385086,176.212
lm,400,1.139437285,9.564
pcr,400,0.957150857,43.514
pls,400,1.140947267,70.515
glmnet,400,0.727984566,73.655
lasso,400,0.727984566,73.506
earth,400,0.65672768,465.78
svmLinear,400,1.220039039,768.958
ranger,400,0.738625028,214.11
lm,500,1.53556575,11.628
pcr,500,0.982670523,59.876
pls,500,1.534739697,98.75
glmnet,500,0.733770864,81.747
lasso,500,0.733770864,81.626
earth,500,0.659648441,671.7
svmLinear,500,1.582418061,916.316
ranger,500,0.744503693,242.798
gbm,0,0.663731756,27.16
gbm,10,0.667066039,28.831
gbm,50,0.679125264,33.666
gbm,100,0.689003407,39.702
gbm,200,0.695496956,51.585
gbm,300,0.705183562,63.935
gbm,400,0.715347382,77.375
gbm,500,0.723316173,89.961
nn,0,0.89471126,22.518
nn,10,0.91625684,35.37
nn,50,0.9574963,54.78
nn,100,0.8799022,76.6
nn,200,0.94014233,103
nn,300,0.8857152,130.2
nn,400,0.9242705,174.45
nn,500,0.94811,212