"age","y"
"g3",569.5
"g3",895.5
"g3",1111
"g3",1182
"g3",1277.5
"g3",1384
"g3",1464.5
"g3",2453
"g3",2538
"g3",2539.5
"g3",2830.5
"g3",2852
"g3",2865
"g3",2945
"g3",3023
"g3",3024.5
"g3",3171.5
"g3",3338.5
"g3",3419
"g3",3519.5
"g3",3519.5
"g3",3556.5
"g3",3619.5
"g3",3641
"g3",3748
"g3",3848.5
"g3",3984.5
"g3",4006.5
"g3",4028.5
"g3",4056
"g3",4066
"g3",4076.5
"g3",4113
"g3",4122
"g3",4262.5
"g3",4357.5
"g3",4430.5
"g3",4438
"g3",4598
"g3",4607
"g3",4616.5
"g3",4755
"g3",4791
"g3",4862
"g3",4921.5
"g3",4951
"g3",4970
"g3",5042
"g3",5042.5
"g3",5088
"g3",5094
"g3",5166
"g3",5337
"g3",5344.5
"g3",5440.5
"g3",5468
"g3",5512
"g3",5580
"g3",5630
"g3",5637
"g3",5661
"g3",5668
"g3",5685
"g3",5755
"g3",5808
"g3",5860
"g3",6046.5
"g3",6206.5
"g3",6230.5
"g3",6364.5
"g3",6377.5
"g3",6412
"g3",6464.5
"g3",6490
"g3",6602
"g3",6607.5
"g3",6622
"g3",6704.5
"g3",6869
"g3",6878
"g3",6970
"g3",6976
"g3",6990
"g3",7003.5
"g3",7009.5
"g3",7034.5
"g3",7044
"g3",7062
"g3",7083.5
"g3",7153.5
"g3",7181.5
"g3",7291.5
"g3",7363.5
"g3",7388.5
"g3",7559
"g3",7574.5
"g3",7577
"g3",7586.5
"g3",7625.5
"g3",7646.5
"g3",7654.5
"g3",7718
"g3",7789
"g3",7790
"g3",7834
"g3",7871
"g3",7941
"g3",7988
"g3",7993.5
"g3",7996
"g3",8037.5
"g3",8052
"g3",8205
"g3",8234
"g3",8257.5
"g3",8286
"g3",8290.5
"g3",8367
"g3",8381
"g3",8390
"g3",8397
"g3",8398
"g3",8434.5
"g3",8480.5
"g3",8522
"g3",8548.5
"g3",8566
"g3",8596
"g3",8655.5
"g3",8765.5
"g3",8847.5
"g3",8881.5
"g3",8928
"g3",9002.5
"g3",9004.5
"g3",9021.5
"g3",9205.5
"g3",9232.5
"g3",9260
"g3",9274
"g3",9279
"g3",9316
"g3",9334.5
"g3",9425.5
"g3",9440.5
"g3",9511
"g3",9516
"g3",9521
"g3",9543
"g3",9574
"g3",9617.5
"g3",9631.5
"g3",9631.5
"g3",9631.5
"g3",9677
"g3",9817
"g3",9817.5
"g3",9827.5
"g3",9841.5
"g3",9860
"g3",9931
"g3",9975
"g3",9984.5
"g3",10030
"g3",10041.5
"g3",10057
"g3",10063.5
"g3",10089
"g3",10112
"g3",10115.5
"g3",10140
"g3",10232.5
"g3",10270
"g3",10441.5
"g3",10442
"g3",10486
"g3",10492
"g3",10510.5
"g3",10637
"g3",10648
"g3",10680
"g3",10748.5
"g3",10764
"g3",10772
"g3",10785.5
"g3",10799
"g3",10813
"g3",10840
"g3",10899
"g3",10929.5
"g3",11032.5
"g3",11055.5
"g3",11060
"g3",11079.5
"g3",11096
"g3",11264
"g3",11276.5
"g3",11291
"g3",11293.5
"g3",11293.5
"g3",11293.5
"g3",11299
"g3",11307.5
"g3",11651
"g3",11665
"g3",11702
"g3",11719.5
"g3",11772
"g3",11774.5
"g3",11815.5
"g3",11847
"g3",11860
"g3",11861.5
"g3",11864.5
"g3",11900.5
"g3",11901
"g3",11917.5
"g3",11921
"g3",11932.5
"g3",11980.5
"g3",11982
"g3",12029.5
"g3",12036.5
"g3",12089.5
"g3",12145.5
"g3",12153
"g3",12186.5
"g3",12206.5
"g3",12249
"g3",12282.5
"g3",12309
"g3",12337.5
"g3",12362.5
"g3",12410
"g3",12412
"g3",12427
"g3",12431.5
"g3",12494
"g3",12503
"g3",12531.5
"g3",12544
"g3",12557.5
"g3",12571.5
"g3",12571.5
"g3",12571.5
"g3",12585.5
"g3",12650.5
"g3",12654
"g3",12659
"g3",12747.5
"g3",12808
"g3",12814.5
"g3",12827
"g3",12887.5
"g3",12895.5
"g3",12898.5
"g3",12928
"g3",12938.5
"g3",12956
"g3",12983.5
"g3",12984
"g3",12996
"g3",13056
"g3",13057
"g3",13089.5
"g3",13187.5
"g3",13203.5
"g3",13228.5
"g3",13331.5
"g3",13354.5
"g3",13396
"g3",13409.5
"g3",13422
"g3",13423
"g3",13430
"g3",13446.5
"g3",13473
"g3",13487
"g3",13488
"g3",13498
"g3",13519.5
"g3",13557
"g3",13567.5
"g3",13612
"g3",13622.5
"g3",13650
"g3",13726
"g3",13741
"g3",13795.5
"g3",13822
"g3",13829
"g3",13863
"g3",13911
"g3",13973
"g3",14046
"g3",14063.5
"g3",14112.5
"g3",14118.5
"g3",14192.5
"g3",14200
"g3",14206.5
"g3",14206.5
"g3",14234
"g3",14260
"g3",14301
"g3",14447
"g3",14495.5
"g3",14520
"g3",14524.5
"g3",14535
"g3",14555
"g3",14564
"g3",14564.5
"g3",14618
"g3",14642
"g3",14653.5
"g3",14658.5
"g3",14673.5
"g3",14701
"g3",14734.5
"g3",14760
"g3",14771
"g3",14787.5
"g3",14800.5
"g3",14811
"g3",14814
"g3",14852.5
"g3",14913.5
"g3",14929.5
"g3",14942
"g3",15006.5
"g3",15031
"g3",15031
"g3",15040.5
"g3",15044.5
"g3",15085.5
"g3",15085.5
"g3",15085.5
"g3",15107.5
"g3",15154.5
"g3",15183.5
"g3",15271.5
"g3",15285
"g3",15329
"g3",15387
"g3",15393.5
"g3",15402
"g3",15449.5
"g3",15453
"g3",15457
"g3",15471
"g3",15484
"g3",15484
"g3",15494
"g3",15518.5
"g3",15524
"g3",15641.5
"g3",15667.5
"g3",15675
"g3",15683.5
"g3",15726.5
"g3",15814.5
"g3",15843.5
"g3",15852
"g3",15874.5
"g3",15910
"g3",15910
"g3",15964.5
"g3",15966.5
"g3",15981.5
"g3",16009.5
"g3",16020
"g3",16037.5
"g3",16045
"g3",16066
"g3",16070.5
"g3",16075
"g3",16113.5
"g3",16129.5
"g3",16130
"g3",16135
"g3",16138
"g3",16234
"g3",16237
"g3",16267.5
"g3",16273.5
"g3",16290.5
"g3",16295
"g3",16308.5
"g3",16336
"g3",16347.5
"g3",16350
"g3",16350
"g3",16350
"g3",16354.5
"g3",16376
"g3",16379.5
"g3",16392.5
"g3",16424.5
"g3",16448.5
"g3",16455.5
"g3",16500
"g3",16502
"g3",16543
"g3",16604
"g3",16668
"g3",16707.5
"g3",16733
"g3",16734.5
"g3",16748
"g3",16762
"g3",16776
"g3",16811.5
"g3",16842
"g3",16852
"g3",16892.5
"g3",16940.5
"g3",16984.5
"g3",16995
"g3",16995.5
"g3",17015
"g3",17025.5
"g3",17035.5
"g3",17039.5
"g3",17105.5
"g3",17107
"g3",17119.5
"g3",17133
"g3",17146.5
"g3",17174
"g3",17215.5
"g3",17217
"g3",17229
"g3",17256.5
"g3",17318
"g3",17325.5
"g3",17339.5
"g3",17373
"g3",17393.5
"g3",17397.5
"g3",17435
"g3",17440
"g3",17445.5
"g3",17462
"g3",17489
"g3",17524.5
"g3",17526
"g3",17545
"g3",17545
"g3",17559
"g3",17572.5
"g3",17615
"g3",17646
"g3",17648
"g3",17662.5
"g3",17724
"g3",17772
"g3",17775.5
"g3",17808
"g3",17839
"g3",17854
"g3",17854
"g3",17904.5
"g3",17914.5
"g3",17917.5
"g3",17920.5
"g3",17960.5
"g3",17971
"g3",17975
"g3",17986
"g3",17996.5
"g3",17997
"g3",17998.5
"g3",18012
"g3",18039.5
"g3",18053.5
"g3",18053.5
"g3",18067
"g3",18117.5
"g3",18125
"g3",18254.5
"g3",18269.5
"g3",18304.5
"g3",18383
"g3",18392
"g3",18438
"g3",18474
"g3",18500.5
"g3",18506.5
"g3",18530
"g3",18534
"g3",18556.5
"g3",18608
"g3",18631
"g3",18642.5
"g3",18644
"g3",18649
"g3",18732.5
"g3",18760.5
"g3",18768
"g3",18775
"g3",18784
"g3",18788.5
"g3",18837
"g3",18842.5
"g3",18850
"g3",18898
"g3",19074.5
"g3",19139.5
"g3",19139.5
"g3",19166.5
"g3",19180.5
"g3",19221.5
"g3",19243
"g3",19244
"g3",19254.5
"g3",19255
"g3",19276
"g3",19276
"g3",19295
"g3",19297
"g3",19317.5
"g3",19374
"g3",19382
"g3",19431
"g3",19472
"g3",19493
"g3",19504.5
"g3",19536
"g3",19550
"g3",19561
"g3",19633.5
"g3",19647.5
"g3",19674.5
"g3",19680.5
"g3",19688.5
"g3",19688.5
"g3",19730
"g3",19810
"g3",19813.5
"g3",19985
"g3",20030.5
"g3",20042
"g3",20059.5
"g3",20086.5
"g3",20086.5
"g3",20091.5
"g3",20100.5
"g3",20125.5
"g3",20148.5
"g3",20169
"g3",20196.5
"g3",20222.5
"g3",20223.5
"g3",20251.5
"g3",20251.5
"g3",20267.5
"g3",20293.5
"g3",20302.5
"g3",20394.5
"g3",20408.5
"g3",20416.5
"g3",20423.5
"g3",20426.5
"g3",20434.5
"g3",20471.5
"g3",20499
"g3",20526.5
"g3",20526.5
"g3",20657
"g3",20665.5
"g3",20667
"g3",20718.5
"g3",20744
"g3",20768
"g3",20772.5
"g3",20884.5
"g3",20928.5
"g3",20938.5
"g3",20938.5
"g3",20938.5
"g3",20963
"g3",20966.5
"g3",20984.5
"g3",20993.5
"g3",21032
"g3",21033.5
"g3",21045
"g3",21057.5
"g3",21067.5
"g3",21092
"g3",21121
"g3",21182.5
"g3",21199.5
"g3",21242
"g3",21250.5
"g3",21259
"g3",21287.5
"g3",21296
"g3",21312
"g3",21378.5
"g3",21391
"g3",21405.5
"g3",21410
"g3",21428.5
"g3",21519.5
"g3",21564
"g3",21606
"g3",21641
"g3",21642
"g3",21672.5
"g3",21691.5
"g3",21691.5
"g3",21696.5
"g3",21698.5
"g3",21703.5
"g3",21735.5
"g3",21749.5
"g3",21756
"g3",21770
"g3",21777
"g3",21777
"g3",21801.5
"g3",21832
"g3",21832.5
"g3",21833
"g3",21845.5
"g3",21881
"g3",21942
"g3",21958
"g3",21962.5
"g3",22018.5
"g3",22066
"g3",22069
"g3",22085.5
"g3",22125.5
"g3",22137
"g3",22161.5
"g3",22175.5
"g3",22185
"g3",22297
"g3",22307.5
"g3",22315
"g3",22463.5
"g3",22468
"g3",22491
"g3",22516
"g3",22628.5
"g3",22652.5
"g3",22655.5
"g3",22656
"g3",22656.5
"g3",22684.5
"g3",22697
"g3",22818
"g3",22841.5
"g3",22910
"g3",22958.5
"g3",22962
"g3",23033.5
"g3",23040.5
"g3",23054.5
"g3",23068
"g3",23082
"g3",23153
"g3",23169.5
"g3",23178
"g3",23182.5
"g3",23232
"g3",23243
"g3",23339
"g3",23354
"g3",23381.5
"g3",23408.5
"g3",23425.5
"g3",23439.5
"g3",23458.5
"g3",23466.5
"g3",23501
"g3",23507.5
"g3",23535.5
"g3",23571
"g3",23576.5
"g3",23577
"g3",23580.5
"g3",23597.5
"g3",23602.5
"g3",23619
"g3",23630
"g3",23645
"g3",23687.5
"g3",23701.5
"g3",23739.5
"g3",23824
"g3",23829
"g3",23865
"g3",23865
"g3",23865
"g3",23879
"g3",23961
"g3",24001.5
"g3",24013
"g3",24036
"g3",24064
"g3",24071
"g3",24108.5
"g3",24134
"g3",24137.5
"g3",24152
"g3",24190
"g3",24195.5
"g3",24217
"g3",24301.5
"g3",24305
"g3",24316
"g3",24322.5
"g3",24345.5
"g3",24348
"g3",24413.5
"g3",24446.5
"g3",24463
"g3",24483.5
"g3",24504
"g3",24513
"g3",24526.5
"g3",24558
"g3",24564
"g3",24576.5
"g3",24600
"g3",24607.5
"g3",24627.5
"g3",24628.5
"g3",24676
"g3",24703
"g3",24703
"g3",24744
"g3",24752.5
"g3",24795
"g3",24834
"g3",24909.5
"g3",24957
"g3",24968
"g3",24980.5
"g3",25127
"g3",25129
"g3",25129
"g3",25143
"g3",25143
"g3",25156.5
"g3",25175.5
"g3",25225
"g3",25225.5
"g3",25243.5
"g3",25292
"g3",25310.5
"g3",25332.5
"g3",25369.5
"g3",25392
"g3",25447.5
"g3",25451
"g3",25458
"g3",25508.5
"g3",25520.5
"g3",25530
"g3",25541.5
"g3",25553.5
"g3",25556.5
"g3",25611
"g3",25623.5
"g3",25706.5
"g3",25720
"g3",25824.5
"g3",25875.5
"g3",25882
"g3",25974.5
"g3",26047
"g3",26092.5
"g3",26110.5
"g3",26134.5
"g3",26139
"g3",26159.5
"g3",26174
"g3",26180.5
"g3",26190
"g3",26192
"g3",26242.5
"g3",26259.5
"g3",26302
"g3",26414
"g3",26434.5
"g3",26448
"g3",26537.5
"g3",26565
"g3",26576.5
"g3",26613
"g3",26655.5
"g3",26660
"g3",26780
"g3",26792
"g3",26812.5
"g3",26820.5
"g3",26832.5
"g3",26934.5
"g3",26941
"g3",27008.5
"g3",27011
"g3",27037.5
"g3",27058
"g3",27123
"g3",27132.5
"g3",27135
"g3",27176.5
"g3",27188.5
"g3",27197
"g3",27199.5
"g3",27229.5
"g3",27249
"g3",27285.5
"g3",27286
"g3",27315
"g3",27327
"g3",27369
"g3",27371.5
"g3",27380
"g3",27478.5
"g3",27507.5
"g3",27509
"g3",27514
"g3",27514
"g3",27534.5
"g3",27550
"g3",27616
"g3",27629
"g3",27634.5
"g3",27684.5
"g3",27685.5
"g3",27727
"g3",27829
"g3",27858
"g3",27910.5
"g3",27936
"g3",27939
"g3",27947
"g3",27953
"g3",28014.5
"g3",28043.5
"g3",28069.5
"g3",28083.5
"g3",28097
"g3",28110
"g3",28124.5
"g3",28146
"g3",28240
"g3",28258.5
"g3",28303
"g3",28315
"g3",28358.5
"g3",28378.5
"g3",28440.5
"g3",28440.5
"g3",28454
"g3",28467.5
"g3",28467.5
"g3",28501
"g3",28517.5
"g3",28531
"g3",28533.5
"g3",28578
"g3",28608
"g3",28671
"g3",28681
"g3",28687.5
"g3",28703
"g3",28738.5
"g3",28804
"g3",28811.5
"g3",28848.5
"g3",28958
"g3",28984
"g3",29079
"g3",29113.5
"g3",29120
"g3",29128
"g3",29159
"g3",29179.5
"g3",29189
"g3",29212.5
"g3",29254
"g3",29263
"g3",29308.5
"g3",29319.5
"g3",29326.5
"g3",29333.5
"g3",29333.5
"g3",29346
"g3",29354
"g3",29375
"g3",29417
"g3",29498.5
"g3",29517
"g3",29546
"g3",29627.5
"g3",29670
"g3",29704.5
"g3",29774.5
"g3",29814.5
"g3",29873.5
"g3",29907.5
"g3",29917.5
"g3",29945.5
"g3",29961
"g3",29968.5
"g3",30052
"g3",30084.5
"g3",30126
"g3",30158
"g3",30185.5
"g3",30210
"g3",30240.5
"g3",30326.5
"g3",30346.5
"g3",30409.5
"g3",30449
"g3",30454.5
"g3",30542
"g3",30633.5
"g3",30687
"g3",30704.5
"g3",30711.5
"g3",30774
"g3",30818.5
"g3",30941
"g3",30977.5
"g3",30987
"g3",30996.5
"g3",31016.5
"g3",31042.5
"g3",31060.5
"g3",31063.5
"g3",31065
"g3",31085
"g3",31105.5
"g3",31120
"g3",31147
"g3",31205
"g3",31209.5
"g3",31229.5
"g3",31270
"g3",31279.5
"g3",31281
"g3",31326
"g3",31377.5
"g3",31394.5
"g3",31408
"g3",31421.5
"g3",31421.5
"g3",31513.5
"g3",31525
"g3",31566
"g3",31576
"g3",31620
"g3",31655
"g3",31678.5
"g3",31800
"g3",31820
"g3",31842.5
"g3",31847.5
"g3",31859
"g3",31861.5
"g3",31901
"g3",31959.5
"g3",31972
"g3",31972.5
"g3",31985
"g3",32011
"g3",32031.5
"g3",32085
"g3",32162
"g3",32190.5
"g3",32191
"g3",32191.5
"g3",32263
"g3",32265
"g3",32356.5
"g3",32606
"g3",32624.5
"g3",32632.5
"g3",32672
"g3",32686
"g3",32699.5
"g3",32752
"g3",32767.5
"g3",32795.5
"g3",32836
"g3",32836.5
"g3",32837
"g3",32982.5
"g3",33004.5
"g3",33033
"g3",33036
"g3",33064
"g3",33112
"g3",33112
"g3",33119.5
"g3",33166.5
"g3",33209
"g3",33212
"g3",33222.5
"g3",33243.5
"g3",33254.5
"g3",33278
"g3",33398
"g3",33406.5
"g3",33476
"g3",33482.5
"g3",33508.5
"g3",33531.5
"g3",33534
"g3",33541
"g3",33579
"g3",33581.5
"g3",33589.5
"g3",33603
"g3",33609
"g3",33627
"g3",33633
"g3",33660
"g3",33730
"g3",33743.5
"g3",33765
"g3",33786
"g3",33821.5
"g3",33888
"g3",33929.5
"g3",33930
"g3",33949.5
"g3",33949.5
"g3",33998.5
"g3",34032
"g3",34059.5
"g3",34135.5
"g3",34145
"g3",34160
"g3",34173.5
"g3",34186
"g3",34187.5
"g3",34321
"g3",34329.5
"g3",34338.5
"g3",34355
"g3",34416.5
"g3",34425.5
"g3",34467.5
"g3",34595.5
"g3",34732.5
"g3",34749.5
"g3",34760.5
"g3",34791.5
"g3",34815.5
"g3",34870.5
"g3",34878.5
"g3",34960
"g3",34980.5
"g3",35023
"g3",35041.5
"g3",35042
"g3",35120
"g3",35148
"g3",35234
"g3",35249.5
"g3",35268.5
"g3",35286.5
"g3",35290.5
"g3",35295.5
"g3",35324
"g3",35516.5
"g3",35542
"g3",35585
"g3",35620.5
"g3",35692
"g3",35742.5
"g3",35790.5
"g3",35814.5
"g3",35823.5
"g3",35834.5
"g3",35858.5
"g3",35887.5
"g3",35897
"g3",35929
"g3",35940.5
"g3",35956
"g3",36051
"g3",36238
"g3",36312
"g3",36313.5
"g3",36377.5
"g3",36388.5
"g3",36462.5
"g3",36499.5
"g3",36505
"g3",36582.5
"g3",36619.5
"g3",36699.5
"g3",36718
"g3",36740.5
"g3",36755.5
"g3",36764.5
"g3",36766.5
"g3",36823.5
"g3",36854
"g3",36986
"g3",37022.5
"g3",37109
"g3",37111.5
"g3",37153.5
"g3",37234
"g3",37315.5
"g3",37467.5
"g3",37517.5
"g3",37528.5
"g3",37604.5
"g3",37644.5
"g3",37770.5
"g3",37802.5
"g3",37892
"g3",37943
"g3",38007
"g3",38101
"g3",38116.5
"g3",38156
"g3",38168
"g3",38175.5
"g3",38201
"g3",38280.5
"g3",38312
"g3",38342.5
"g3",38346.5
"g3",38349
"g3",38354
"g3",38382.5
"g3",38406
"g3",38435.5
"g3",38481
"g3",38655.5
"g3",38670.5
"g3",38677
"g3",38687
"g3",38697
"g3",38725.5
"g3",38751.5
"g3",38751.5
"g3",38754.5
"g3",38797
"g3",38848
"g3",38897.5
"g3",38923
"g3",38923.5
"g3",39013
"g3",39058.5
"g3",39115.5
"g3",39228
"g3",39232
"g3",39252
"g3",39254.5
"g3",39313.5
"g3",39353.5
"g3",39373
"g3",39390.5
"g3",39411
"g3",39431.5
"g3",39442.5
"g3",39460
"g3",39501
"g3",39524.5
"g3",39543
"g3",39589.5
"g3",39596.5
"g3",39610.5
"g3",39695.5
"g3",39762
"g3",39762
"g3",39768.5
"g3",39789
"g3",39865.5
"g3",39880
"g3",39887.5
"g3",39935.5
"g3",40043
"g3",40194
"g3",40215
"g3",40291
"g3",40300
"g3",40358.5
"g3",40489
"g3",40562.5
"g3",40635
"g3",40645.5
"g3",40698
"g3",40865
"g3",40883.5
"g3",40905
"g3",40926.5
"g3",40929.5
"g3",41022.5
"g3",41028
"g3",41039.5
"g3",41063.5
"g3",41303.5
"g3",41334
"g3",41363.5
"g3",41383.5
"g3",41437.5
"g3",41438.5
"g3",41494
"g3",41534
"g3",41541.5
"g3",41616.5
"g3",41756
"g3",41925
"g3",41997.5
"g3",42042
"g3",42056.5
"g3",42063
"g3",42107.5
"g3",42138
"g3",42145
"g3",42167.5
"g3",42216.5
"g3",42330.5
"g3",42756.5
"g3",42885.5
"g3",42948
"g3",43013.5
"g3",43085.5
"g3",43144
"g3",43155
"g3",43175.5
"g3",43257
"g3",43531
"g3",43697.5
"g3",43698.5
"g3",43732
"g3",43836.5
"g3",43856
"g3",43878.5
"g3",43903.5
"g3",43970.5
"g3",43979.5
"g3",44020.5
"g3",44117
"g3",44171.5
"g3",44176
"g3",44185.5
"g3",44187
"g3",44192.5
"g3",44254.5
"g3",44258
"g3",44378
"g3",44423
"g3",44456.5
"g3",44492
"g3",44632
"g3",44652.5
"g3",44719
"g3",44843.5
"g3",44874
"g3",45061
"g3",45095
"g3",45305
"g3",45381.5
"g3",45614.5
"g3",45911.5
"g3",46156
"g3",46178
"g3",46306.5
"g3",46308
"g3",46568
"g3",46584.5
"g3",46591.5
"g3",46716
"g3",46784
"g3",46801.5
"g3",46869
"g3",46965
"g3",46972
"g3",46988.5
"g3",47055.5
"g3",47125.5
"g3",47252
"g3",47263
"g3",47295
"g3",47381
"g3",47414
"g3",47543.5
"g3",47599.5
"g3",47607
"g3",47632
"g3",47676
"g3",47709.5
"g3",47900.5
"g3",47908.5
"g3",47909.5
"g3",48086
"g3",48097.5
"g3",48201.5
"g3",48232
"g3",48504.5
"g3",48551
"g3",48569.5
"g3",48589
"g3",48597.5
"g3",48606
"g3",48652
"g3",48685
"g3",48718
"g3",48829.5
"g3",49116
"g3",49173.5
"g3",49312.5
"g3",49323
"g3",49324
"g3",49468.5
"g3",49638.5
"g3",49696
"g3",49717
"g3",49791.5
"g3",49907.5
"g3",50066
"g3",50268
"g3",50326
"g3",50441.5
"g3",50602
"g3",50838.5
"g3",50842.5
"g3",50847.5
"g3",50975.5
"g3",50987
"g3",51011
"g3",51093
"g3",51110
"g3",51166.5
"g3",51274.5
"g3",51411
"g3",51426.5
"g3",51466
"g3",51563.5
"g3",51567
"g3",51577.5
"g3",51582.5
"g3",51583.5
"g3",51584.5
"g3",51921
"g3",52295
"g3",52329.5
"g3",52445.5
"g3",52549
"g3",52589.5
"g3",52683
"g3",52835
"g3",52903.5
"g3",52965
"g3",53018
"g3",53049
"g3",53171
"g3",53417.5
"g3",53447
"g3",53511
"g3",53536.5
"g3",53630.5
"g3",53755
"g3",53862
"g3",53956
"g3",54163
"g3",54297
"g3",54308.5
"g3",54337.5
"g3",54407.5
"g3",54480
"g3",54593
"g3",54642
"g3",55602
"g3",55703.5
"g3",55719.5
"g3",55767.5
"g3",55781.5
"g3",55890
"g3",55923.5
"g3",56125
"g3",56253
"g3",56392
"g3",56594
"g3",57231
"g3",57760.5
"g3",57815
"g3",57944
"g3",58014.5
"g3",58172
"g3",58268
"g3",58435.5
"g3",58580.5
"g3",58613.5
"g3",58642
"g3",58679
"g3",59083
"g3",59150
"g3",59356.5
"g3",59443
"g3",59657.5
"g3",59672.5
"g3",59779.5
"g3",59910
"g3",60057
"g3",61071
"g3",61519.5
"g3",61726.5
"g3",62040.5
"g3",62199
