Date,AAPL_Price,XOM_Price,TGT_Price,MCD_Price
1/2/2013,75.26,84.58,56.09,85.1
1/3/2013,74.31,84.43,57.37,85.59
1/4/2013,72.24,84.82,57.77,84.85
1/7/2013,71.81,83.83,58.45,85.85
1/8/2013,72.01,84.36,57.82,85.88
1/9/2013,70.88,84.03,57.38,85.76
1/10/2013,71.76,84.95,57.51,86.31
1/11/2013,71.32,85.44,57.28,86.62
1/14/2013,68.78,85.41,57.58,86.44
1/15/2013,66.61,85.36,58.25,86.42
1/16/2013,69.37,85.3,58.47,86.03
1/17/2013,68.91,86,58.61,86.65
1/18/2013,68.54,86.57,58.67,87.12
1/22/2013,69.19,86.69,58.63,87.78
1/23/2013,70.46,86.48,58.2,88.28
1/24/2013,61.75,87.1,58.99,88.12
1/25/2013,60.3,87.46,58.68,88.5
1/28/2013,61.66,86.87,58.29,89.11
1/29/2013,62.82,87.49,58.49,89.64
1/30/2013,62.62,86.45,58.15,89.4
1/31/2013,62.44,85.78,57.6,89.99
2/1/2013,62.18,85.85,58.31,90.61
2/4/2013,60.63,85,58.02,89.33
2/5/2013,62.76,85.56,59.5,89.63
2/6/2013,62.69,85.61,59.78,89.78
2/7/2013,64.56,84.68,59.41,89.36
2/8/2013,65.49,85.02,59.59,89.59
2/11/2013,66.17,84.71,59.76,89.87
2/12/2013,64.51,84.88,59.82,89.81
2/13/2013,64.39,85.08,59.78,88.77
2/14/2013,64.33,84.94,60.16,88.35
2/15/2013,63.44,84.78,59.18,88.67
2/19/2013,63.42,85.7,59.33,88.63
2/20/2013,61.89,85.37,60.08,88.68
2/21/2013,61.5,85,60.8,88.9
2/22/2013,62.16,85.59,60.99,89.95
2/25/2013,61.05,84.15,60.31,90.79
2/26/2013,61.9,84.93,61.43,90.86
2/27/2013,61.3,85.91,60.53,91.13
2/28/2013,60.86,85.92,60.38,91.29
3/1/2013,59.35,85.81,61.5,91.08
3/4/2013,57.91,85.35,63.72,90.5
3/5/2013,59.44,85.98,63.95,91.21
3/6/2013,58.69,85.93,63.41,92.16
3/7/2013,59.37,85.12,63.15,92.43
3/8/2013,59.52,85.37,63.63,93.97
3/11/2013,60.37,85.55,64.58,94.14
3/12/2013,59.07,85.55,64.36,94.01
3/13/2013,59.06,85.65,64.67,94.61
3/14/2013,59.63,86.19,64.58,94.54
3/15/2013,61.17,85.75,64.06,94.88
3/18/2013,62.83,85.18,64.02,93.83
3/19/2013,62.66,84.99,63.74,93.67
3/20/2013,62.33,85.04,65.71,94.02
3/21/2013,62.42,84.6,65.26,93.8
3/22/2013,63.69,85.67,65.62,94.5
3/25/2013,63.92,85.42,65.61,93.52
3/26/2013,63.58,86.48,65.8,93.77
3/27/2013,62.33,86.91,66.22,94.15
3/28/2013,61.03,86.46,65.65,94.9
4/1/2013,59.14,87.1,65.85,94.29
4/2/2013,59.26,86.91,66.01,95.44
4/3/2013,59.56,86.29,65.19,94.48
4/4/2013,58.97,86.14,65.97,95.8
4/5/2013,58.35,85.41,66.03,96.55
4/8/2013,58.76,85.01,66.42,96.62
4/9/2013,58.87,85.18,66.1,96.2
4/10/2013,60.07,85.09,66.04,96.61
4/11/2013,59.88,85.61,66.29,97.09
4/12/2013,59.26,85.39,66.64,98.61
4/15/2013,57.89,82.99,65.67,97.24
4/16/2013,58.77,83.1,65.58,98.09
4/17/2013,55.54,82.59,65.94,97.61
4/18/2013,54.05,83.11,65.49,97.01
4/19/2013,53.84,83.91,66.21,95.12
4/22/2013,54.97,84.52,66.27,94.55
4/23/2013,56,85.68,66.83,94.97
4/24/2013,55.9,85.81,66.85,96.17
4/25/2013,56.31,84.5,67.77,96.09
4/26/2013,57.52,84.44,67.63,96.04
4/29/2013,59.3,84.64,67.75,97.27
4/30/2013,61.05,85.39,67.67,97.23
5/1/2013,60.57,83.97,67.65,96.51
5/2/2013,61.43,85.04,66.35,97.16
5/3/2013,62.04,86.38,67.61,97.98
5/6/2013,63.52,86.91,67.16,97.17
5/7/2013,63.24,87.46,67.66,97.38
5/8/2013,63.95,87.99,66.94,96.1
5/9/2013,63.39,87.95,66.63,94.9
5/10/2013,62.87,87.09,66.88,95.39
5/13/2013,63.11,87.05,66.94,95.56
5/14/2013,61.6,88.03,66.94,96.34
5/15/2013,59.52,88.15,67.86,97.05
5/16/2013,60.31,87.63,67.48,96.26
5/17/2013,60.13,88.65,68.5,96.66
5/20/2013,61.47,89.39,68.11,96.66
5/21/2013,61.02,89.66,68.69,97.23
5/22/2013,61.25,89.07,65.94,96.85
5/23/2013,61.36,88.68,66.2,96.18
5/24/2013,61.78,88.43,67.21,95.47
5/28/2013,61.27,89.25,67.01,96.38
5/29/2013,61.75,88.96,66.92,94.29
5/30/2013,62.67,88.97,67.31,93.13
5/31/2013,62.42,87.41,67,92.65
6/3/2013,62.55,88.36,68.49,93.98
6/4/2013,62.36,87.72,68.94,94.38
6/5/2013,61.78,86.62,67.64,92.51
6/6/2013,60.85,87.18,67.73,92.76
6/7/2013,61.32,88.35,67.83,94.29
6/10/2013,60.91,88.04,67.36,95.49
6/11/2013,60.73,87.4,67.48,94.24
6/12/2013,59.98,86.7,66.93,94.25
6/13/2013,60.51,88.24,67.08,94.87
6/14/2013,59.69,87.51,66.54,94.43
6/17/2013,59.96,88.41,67.34,94.73
6/18/2013,59.92,88.82,67.63,95.7
6/19/2013,58.71,87.92,66.4,94.8
6/20/2013,57.85,86.04,66.19,92.86
6/21/2013,57.39,86.45,66.35,93.28
6/24/2013,55.87,85.49,65.83,93.34
6/25/2013,55.88,86.09,66.64,93.56
6/26/2013,55.25,86.76,66.63,94.83
6/27/2013,54.65,86.99,66.31,95.61
6/28/2013,55.03,87.29,66.38,94.98
7/1/2013,56.79,87.24,66.83,95.77
7/2/2013,58.08,87.57,67.06,95.87
7/3/2013,58.4,87.62,66.88,96.28
7/5/2013,57.93,88.47,67.72,95.81
7/8/2013,57.6,89.13,68.62,95.83
7/9/2013,58.62,90.18,69.19,95.93
7/10/2013,58.39,89.68,69.44,95.92
7/11/2013,59.3,90.11,69.96,96.7
7/12/2013,59.19,90.24,69.95,97.46
7/15/2013,59.32,90.09,69.75,96.66
7/16/2013,59.71,90.14,69.48,96.79
7/17/2013,59.72,90.3,70,96.04
7/18/2013,59.92,91.19,69.81,96.11
7/19/2013,58.98,91.95,69.94,96.2
7/22/2013,59.17,91.62,70.4,93.62
7/23/2013,58.15,91.98,70.61,92.83
7/24/2013,61.14,91.77,70.68,92.74
7/25/2013,60.86,91.76,69.23,93.53
7/26/2013,61.2,91.58,68.89,94.05
7/29/2013,62.15,90.85,68.94,93.9
7/30/2013,62.92,90.63,68.85,94.38
7/31/2013,62.81,90.58,68.68,94.1
8/1/2013,63.38,89.59,69,94.98
8/2/2013,64.19,88.84,68.93,95.17
8/5/2013,65.15,88.49,69.4,95.28
8/6/2013,64.57,88.37,69.21,94.68
8/7/2013,64.53,88.25,69.1,94.34
8/8/2013,64.4,88.67,68.66,94.06
8/9/2013,63.49,88.26,68.17,93.66
8/12/2013,65.29,87.45,68.21,93.1
8/13/2013,68.39,86.97,68.63,92.54
8/14/2013,69.64,86.53,67.52,92.21
8/15/2013,69.56,85.76,66.59,91.52
8/16/2013,70.18,85.52,66.11,91.17
8/19/2013,70.93,84.56,66.2,91.6
8/20/2013,70,84.47,65.92,91.62
8/21/2013,70.18,84.07,63.54,91.25
8/22/2013,70.27,84.62,62.32,91.59
8/23/2013,69.99,85.14,62.42,91.27
8/26/2013,70.27,84.72,62.21,91.44
8/27/2013,68.26,84.46,61.37,90.99
8/28/2013,68.58,86.43,61.38,92.18
8/29/2013,68.69,84.9,61.26,91.75
8/30/2013,68.07,84.79,61.42,91.26
9/3/2013,68.26,84.78,61.69,91.42
9/4/2013,69.67,85.38,61.65,92.04
9/5/2013,69.19,84.98,61.56,92.52
9/6/2013,69.6,84.88,61.4,93.1
9/9/2013,70.71,85.65,62.02,93.28
9/10/2013,69.1,85.43,62.79,93.71
9/11/2013,65.34,86.43,63.05,94.26
9/12/2013,66.04,85.59,62.17,93.99
9/13/2013,64.95,86,61.85,94.15
9/16/2013,62.88,86.26,61.88,94.5
9/17/2013,63.61,86.52,62.45,94.7
9/18/2013,64.92,87.15,63.52,95.46
9/19/2013,65.98,86.85,63.43,94.7
9/20/2013,65.3,86.25,62.62,93.72
9/23/2013,68.54,85.37,62.47,94.09
9/24/2013,68.33,84.99,62,94.57
9/25/2013,67.27,84.77,61.35,94.41
9/26/2013,67.93,84.7,61.47,94.97
9/27/2013,67.44,84.54,62.03,93.93
9/30/2013,66.6,83.7,62.07,93.05
10/1/2013,68.17,83.66,62,92.97
10/2/2013,68.39,83.74,61.75,92.15
10/3/2013,67.53,83.18,61.55,91.56
10/4/2013,67.48,83.97,61.51,91.59
10/7/2013,68.14,83.57,60.8,91.26
10/8/2013,67.19,83.19,60.27,90.86
10/9/2013,67.98,82.85,60.81,90.21
10/10/2013,68.4,83.7,61.55,91.34
10/11/2013,68.85,84.59,61.32,91.63
10/14/2013,69.3,85.22,61.75,91.61
10/15/2013,69.67,84.43,61.05,90.72
10/16/2013,70.01,84.94,61.99,92.09
10/17/2013,70.48,85.1,62.92,92.34
10/18/2013,71.09,85.17,62.74,92.07
10/21/2013,72.84,84.86,62.76,91.48
10/22/2013,72.63,85.59,63.17,92
10/23/2013,73.34,85.23,62.35,91.12
10/24/2013,74.31,86.02,62.21,91.57
10/25/2013,73.48,85.58,62.15,91.67
10/28/2013,74.03,85.83,62.94,92.24
10/29/2013,72.18,86.51,62.4,92.9
10/30/2013,73.33,86.4,63.74,92.88
10/31/2013,73.02,87.18,62.85,93.35
11/1/2013,72.65,87.38,62.69,94.05
11/4/2013,73.59,89.6,63.27,94.11
11/5/2013,73.41,89.49,62.7,94.21
11/6/2013,73.2,90.69,63.73,94.69
11/7/2013,72.01,90.07,62.88,94.01
11/8/2013,73.15,90.82,63.16,93.82
11/11/2013,72.94,91.05,63.72,93.9
11/12/2013,73.07,90.77,63.48,94.45
11/13/2013,73.16,90.69,64.87,94.89
11/14/2013,74.22,91.3,64.68,94.36
11/15/2013,73.77,93.31,64.89,93.74
11/18/2013,72.88,93.49,64.88,94.44
11/19/2013,73.01,93.46,65.05,94.76
11/20/2013,72.37,92.73,64.92,94.34
11/21/2013,73.23,92.74,62.67,94.49
11/22/2013,73.04,93.06,62.19,95.04
11/25/2013,73.6,93.14,62.25,95.67
11/26/2013,74.95,92.33,62.36,94.98
11/27/2013,76.72,91.87,62.89,94.65
11/29/2013,78.14,91.56,62.42,94.96
12/2/2013,77.46,91.6,61.25,94.12
12/3/2013,79.58,92.45,61.33,93.99
12/4/2013,79.39,92.72,61.81,93.34
12/5/2013,79.8,92.2,61.15,93.06
12/6/2013,78.69,93.68,61.88,94.4
12/9/2013,79.59,93.87,61.74,93.35
12/10/2013,79.47,93.74,61.67,93.06
12/11/2013,78.88,92.32,61.44,92.9
12/12/2013,78.77,93.4,61.4,91.77
12/13/2013,77.91,93.35,60.89,92.1
12/16/2013,78.34,95.22,60.7,93.08
12/17/2013,77.99,94.76,60.19,92.04
12/18/2013,77.39,97.49,62.05,93.55
12/19/2013,76.51,97.39,60.68,92.78
12/20/2013,77.15,96.65,61.01,94.12
12/23/2013,80.11,96.49,60.42,93.91
12/24/2013,79.77,97.18,60.25,94.15
12/26/2013,79.24,98.83,61,94.44
12/27/2013,78.7,99.42,60.68,94.51
12/30/2013,77.92,98.25,60.99,94.6
12/31/2013,78.83,99.12,61.77,94.62
